Helység megnevezése;Megye megnevezés
Balsa;Szabolcs-Szatmár-Bereg
Bálványos;Somogy
Bana;Komárom-Esztergom
Bánd;Veszprém
Bánfa;Baranya
Bánhorváti;Borsod-Abaúj-Zemplén
Bánk;Nógrád
Bánokszentgyörgy;Zala
Bánréve;Borsod-Abaúj-Zemplén
Bár;Baranya
Barabás;Szabolcs-Szatmár-Bereg
Baracs;Fejér
Baracska;Fejér
Báránd;Hajdú-Bihar
Baranyahídvég;Baranya
Baranyajenõ;Baranya
Baranyaszentgyörgy;Baranya
Barbacs;Gyõr-Moson-Sopron
Barcs;Somogy
Bárdudvarnok;Somogy
Barlahida;Zala
Bárna;Nógrád
Barnag;Veszprém
Bársonyos;Komárom-Esztergom
Basal;Baranya
Baskó;Borsod-Abaúj-Zemplén
Báta;Tolna
Bátaapáti;Tolna
Bátaszék;Tolna
Baté;Somogy
Bátmonostor;Bács-Kiskun
Bátonyterenye;Nógrád
Bátor;Heves
Bátorliget;Szabolcs-Szatmár-Bereg
Battonya;Békés
Bátya;Bács-Kiskun
Batyk;Zala
Bázakerettye;Zala
Bazsi;Veszprém
Béb;Veszprém
Becsehely;Zala
Becske;Nógrád
Becskeháza;Borsod-Abaúj-Zemplén
Becsvölgye;Zala
Bedegkér;Somogy
Bedõ;Hajdú-Bihar
Bejcgyertyános;Vas
Békás;Veszprém
Bekecs;Borsod-Abaúj-Zemplén
Békés;Békés
Békéscsaba;Békés
Békéssámson;Békés
Békésszentandrás;Békés
Bekölce;Heves
Bélapátfalva;Heves
Bélavár;Somogy
Belecska;Tolna
Beled;Gyõr-Moson-Sopron
Beleg;Somogy
Belezna;Zala
Bélmegyer;Békés
Beloiannisz;Fejér
Belsõsárd;Zala
Belvárdgyula;Baranya
Benk;Szabolcs-Szatmár-Bereg
Bénye;Pest
Bér;Nógrád
Bérbaltavár;Vas
Bercel;Nógrád
Beregdaróc;Szabolcs-Szatmár-Bereg
Beregsurány;Szabolcs-Szatmár-Bereg
Berekböszörmény;Hajdú-Bihar
Berekfürdõ;Jász-Nagykun-Szolnok
Beremend;Baranya
Berente;Borsod-Abaúj-Zemplén
Beret;Borsod-Abaúj-Zemplén
Berettyóújfalu;Hajdú-Bihar
Berhida;Veszprém
Berkenye;Nógrád
Berkesd;Baranya
Berkesz;Szabolcs-Szatmár-Bereg
Bernecebaráti;Pest
Berzék;Borsod-Abaúj-Zemplén
Berzence;Somogy
Besence;Baranya
Besenyõd;Szabolcs-Szatmár-Bereg
Besenyõtelek;Heves
Besenyszög;Jász-Nagykun-Szolnok
Besnyõ;Fejér
Beszterec;Szabolcs-Szatmár-Bereg
Bezedek;Baranya
Bezenye;Gyõr-Moson-Sopron
Bezeréd;Zala
Bezi;Gyõr-Moson-Sopron
Biatorbágy;Pest
Bicsérd;Baranya
Bicske;Fejér
Bihardancsháza;Hajdú-Bihar
Biharkeresztes;Hajdú-Bihar
Biharnagybajom;Hajdú-Bihar
Bihartorda;Hajdú-Bihar
Biharugra;Békés
Bikács;Tolna
Bikal;Baranya
Biri;Szabolcs-Szatmár-Bereg
Birján;Baranya
Bisse;Baranya
Boba;Vas
Bocfölde;Zala
Boconád;Heves
Bócsa;Bács-Kiskun
Bocska;Zala
Bocskaikert;Hajdú-Bihar
Boda;Baranya
Bodajk;Fejér
Bodmér;Fejér
Bodolyabér;Baranya
Bodonhely;Gyõr-Moson-Sopron
Bodony;Heves
Bodorfa;Veszprém
Bodrog;Somogy
Bodroghalom;Borsod-Abaúj-Zemplén
Bodrogkeresztúr;Borsod-Abaúj-Zemplén
Bodrogkisfalud;Borsod-Abaúj-Zemplén
Bodrogolaszi;Borsod-Abaúj-Zemplén
Bódvalenke;Borsod-Abaúj-Zemplén
Bódvarákó;Borsod-Abaúj-Zemplén
Bódvaszilas;Borsod-Abaúj-Zemplén
Bogács;Borsod-Abaúj-Zemplén
Bogád;Baranya
Bogádmindszent;Baranya
Bogdása;Baranya
Bogyiszló;Tolna
Bogyoszló;Gyõr-Moson-Sopron
Bojt;Hajdú-Bihar
Bókaháza;Zala
Bokod;Komárom-Esztergom
Bokor;Nógrád
Boldog;Heves
Boldogasszonyfa;Baranya
Boldogkõújfalu;Borsod-Abaúj-Zemplén
Boldogkõváralja;Borsod-Abaúj-Zemplén
Boldva;Borsod-Abaúj-Zemplén
Bolhás;Somogy
Bolhó;Somogy
Bóly;Baranya
Boncodfölde;Zala
Bonyhád;Tolna
Bonyhádvarasd;Tolna
Bonnya;Somogy
Bordány;Csongrád-Csanád
Borgáta;Vas
Borjád;Baranya
Borota;Bács-Kiskun
Borsfa;Zala
Borsodbóta;Borsod-Abaúj-Zemplén
Borsodgeszt;Borsod-Abaúj-Zemplén
Borsodivánka;Borsod-Abaúj-Zemplén
Borsodnádasd;Borsod-Abaúj-Zemplén
Borsodszentgyörgy;Borsod-Abaúj-Zemplén
Borsodszirák;Borsod-Abaúj-Zemplén
Borsosberény;Nógrád
Borszörcsök;Veszprém
Borzavár;Veszprém
Bosta;Baranya
Botpalád;Szabolcs-Szatmár-Bereg
Botykapeterd;Baranya
